😀,嘿嘿
👩🏿‍❤️‍💋‍👨🏻,亲吻: 女人男人较深肤色较浅肤色
👩🏿‍❤️‍💋‍👨🏼,亲吻: 女人男人较深肤色中等-浅肤色
👩🏿‍❤️‍💋‍👨🏽,亲吻: 女人男人较深肤色中等肤色
👩🏿‍❤️‍💋‍👨🏾,亲吻: 女人男人较深肤色中等-深肤色
👩🏿‍❤️‍💋‍👨🏿,亲吻: 女人男人较深肤色
👩🏿‍❤️‍💋‍👩🏻,亲吻: 女人女人较深肤色较浅肤色
👩🏿‍❤️‍💋‍👩🏼,亲吻: 女人女人较深肤色中等-浅肤色
👩🏿‍❤️‍💋‍👩🏽,亲吻: 女人女人较深肤色中等肤色
👩🏿‍❤️‍💋‍👩🏾,亲吻: 女人女人较深肤色中等-深肤色
👩🏿‍❤️‍💋‍👩🏿,亲吻: 女人女人较深肤色
👩🏿‍🤝‍👨🏻,手拉手的一男一女: 较深肤色较浅肤色
👩🏿‍🤝‍👨🏼,手拉手的一男一女: 较深肤色中等-浅肤色
👩🏿‍🤝‍👨🏽,手拉手的一男一女: 较深肤色中等肤色
👩🏿‍🤝‍👨🏾,手拉手的一男一女: 较深肤色中等-深肤色
👩🏿‍🤝‍👩🏻,手拉手的两个女人: 较深肤色较浅肤色
👩🏿‍🤝‍👩🏼,手拉手的两个女人: 较深肤色中等-浅肤色
👩🏿‍🤝‍👩🏽,手拉手的两个女人: 较深肤色中等肤色
👩🏿‍🤝‍👩🏾,手拉手的两个女人: 较深肤色中等-深肤色
👪,家庭
👫,手拉手的一男一女
👫🏻,手拉手的一男一女: 较浅肤色
👫🏼,手拉手的一男一女: 中等-浅肤色
👫🏽,手拉手的一男一女: 中等肤色
👫🏾,手拉手的一男一女: 中等-深肤色
👫🏿,手拉手的一男一女: 较深肤色
👬,手拉手的两个男人
👬🏻,手拉手的两个男人: 较浅肤色
👬🏼,手拉手的两个男人: 中等-浅肤色
👬🏽,手拉手的两个男人: 中等肤色
👬🏾,手拉手的两个男人: 中等-深肤色
👬🏿,手拉手的两个男人: 较深肤色
👭,手拉手的两个女人
👭🏻,手拉手的两个女人: 较浅肤色
👭🏼,手拉手的两个女人: 中等-浅肤色
👭🏽,手拉手的两个女人: 中等肤色
👭🏾,手拉手的两个女人: 中等-深肤色
👭🏿,手拉手的两个女人: 较深肤色
💏,亲吻
💏🏻,亲吻: 较浅肤色
💏🏼,亲吻: 中等-浅肤色
💏🏽,亲吻: 中等肤色
💏🏾,亲吻: 中等-深肤色
💏🏿,亲吻: 较深肤色
💑,情侣
💑🏻,情侣: 较浅肤色
💑🏼,情侣: 中等-浅肤色
💑🏽,情侣: 中等肤色
💑🏾,情侣: 中等-深肤色
💑🏿,情侣: 较深肤色
🧑‍🤝‍🧑,手拉手的两个人
🧑🏻‍❤‍💋‍🧑🏼,亲吻: 成人成人较浅肤色中等-浅肤色
🧑🏻‍❤‍💋‍🧑🏽,亲吻: 成人成人较浅肤色中等肤色
🧑🏻‍❤‍💋‍🧑🏾,亲吻: 成人成人较浅肤色中等-深肤色
🧑🏻‍❤‍💋‍🧑🏿,亲吻: 成人成人较浅肤色较深肤色
🧑🏻‍❤‍🧑🏼,情侣: 成人成人较浅肤色中等-浅肤色
🧑🏻‍❤‍🧑🏽,情侣: 成人成人较浅肤色中等肤色
🧑🏻‍❤‍🧑🏾,情侣: 成人成人较浅肤色中等-深肤色
🧑🏻‍❤‍🧑🏿,情侣: 成人成人较浅肤色较深肤色
🧑🏻‍❤️‍💋‍🧑🏼,亲吻: 成人成人较浅肤色中等-浅肤色
🧑🏻‍❤️‍💋‍🧑🏽,亲吻: 成人成人较浅肤色中等肤色
🧑🏻‍❤️‍💋‍🧑🏾,亲吻: 成人成人较浅肤色中等-深肤色
🧑🏻‍❤️‍💋‍🧑🏿,亲吻: 成人成人较浅肤色较深肤色
🧑🏻‍❤️‍🧑🏼,情侣: 成人成人较浅肤色中等-浅肤色
🧑🏻‍❤️‍🧑🏽,情侣: 成人成人较浅肤色中等肤色
🧑🏻‍❤️‍🧑🏾,情侣: 成人成人较浅肤色中等-深肤色
🧑🏻‍❤️‍🧑🏿,情侣: 成人成人较浅肤色较深肤色
🧑🏻‍🤝‍🧑🏻,手拉手的两个人: 较浅肤色
🧑🏻‍🤝‍🧑🏼,手拉手的两个人: 较浅肤色中等-浅肤色
🧑🏻‍🤝‍🧑🏽,手拉手的两个人: 较浅肤色中等肤色
🧑🏻‍🤝‍🧑🏾,手拉手的两个人: 较浅肤色中等-深肤色
🧑🏻‍🤝‍🧑🏿,手拉手的两个人: 较浅肤色较深肤色
🧑🏼‍❤‍💋‍🧑🏻,亲吻: 成人成人中等-浅肤色较浅肤色
🧑🏼‍❤‍💋‍🧑🏽,亲吻: 成人成人中等-浅肤色中等肤色
🧑🏼‍❤‍💋‍🧑🏾,亲吻: 成人成人中等-浅肤色中等-深肤色
🧑🏼‍❤‍💋‍🧑🏿,亲吻: 成人成人中等-浅肤色较深肤色
🧑🏼‍❤‍🧑🏻,情侣: 成人成人中等-浅肤色较浅肤色
🧑🏼‍❤‍🧑🏽,情侣: 成人成人中等-浅肤色中等肤色
🧑🏼‍❤‍🧑🏾,情侣: 成人成人中等-浅肤色中等-深肤色
🧑🏼‍❤‍🧑🏿,情侣: 成人成人中等-浅肤色较深肤色
🧑🏼‍❤️‍💋‍🧑🏻,亲吻: 成人成人中等-浅肤色较浅肤色
🧑🏼‍❤️‍💋‍🧑🏽,亲吻: 成人成人中等-浅肤色中等肤色
🧑🏼‍❤️‍💋‍🧑🏾,亲吻: 成人成人中等-浅肤色中等-深肤色
🧑🏼‍❤️‍💋‍🧑🏿,亲吻: 成人成人中等-浅肤色较深肤色
🧑🏼‍❤️‍🧑🏻,情侣: 成人成人中等-浅肤色较浅肤色
🧑🏼‍❤️‍🧑🏽,情侣: 成人成人中等-浅肤色中等肤色
🧑🏼‍❤️‍🧑🏾,情侣: 成人成人中等-浅肤色中等-深肤色
🧑🏼‍❤️‍🧑🏿,情侣: 成人成人中等-浅肤色较深肤色
🧑🏼‍🤝‍🧑🏻,手拉手的两个人: 中等-浅肤色较浅肤色
🧑🏼‍🤝‍🧑🏼,手拉手的两个人: 中等-浅肤色
🧑🏼‍🤝‍🧑🏽,手拉手的两个人: 中等-浅肤色中等肤色
🧑🏼‍🤝‍🧑🏾,手拉手的两个人: 中等-浅肤色中等-深肤色
🧑🏼‍🤝‍🧑🏿,手拉手的两个人: 中等-浅肤色较深肤色
🧑🏽‍❤‍💋‍🧑🏻,亲吻: 成人成人中等肤色较浅肤色
🧑🏽‍❤‍💋‍🧑🏼,亲吻: 成人成人中等肤色中等-浅肤色
🧑🏽‍❤‍💋‍🧑🏾,亲吻: 成人成人中等肤色中等-深肤色
🧑🏽‍❤‍💋‍🧑🏿,亲吻: 成人成人中等肤色较深肤色
🧑🏽‍❤‍🧑🏻,情侣: 成人成人中等肤色较浅肤色
🧑🏽‍❤‍🧑🏼,情侣: 成人成人中等肤色中等-浅肤色
🧑🏽‍❤‍🧑🏾,情侣: 成人成人中等肤色中等-深肤色
🧑🏽‍❤‍🧑🏿,情侣: 成人成人中等肤色较深肤色
🧑🏽‍❤️‍💋‍🧑🏻,亲吻: 成人成人中等肤色较浅肤色
🧑🏽‍❤️‍💋‍🧑🏼,亲吻: 成人成人中等肤色中等-浅肤色
🧑🏽‍❤️‍💋‍🧑🏾,亲吻: 成人成人中等肤色中等-深肤色
🧑🏽‍❤️‍💋‍🧑🏿,亲吻: 成人成人中等肤色较深肤色
🧑🏽‍❤️‍🧑🏻,情侣: 成人成人中等肤色较浅肤色
🧑🏽‍❤️‍🧑🏼,情侣: 成人成人中等肤色中等-浅肤色
🧑🏽‍❤️‍🧑🏾,情侣: 成人成人中等肤色中等-深肤色
🧑🏽‍❤️‍🧑🏿,情侣: 成人成人中等肤色较深肤色
🧑🏽‍🤝‍🧑🏻,手拉手的两个人: 中等肤色较浅肤色
🧑🏽‍🤝‍🧑🏼,手拉手的两个人: 中等肤色中等-浅肤色
🧑🏽‍🤝‍🧑🏽,手拉手的两个人: 中等肤色
🧑🏽‍🤝‍🧑🏾,手拉手的两个人: 中等肤色中等-深肤色
🧑🏽‍🤝‍🧑🏿,手拉手的两个人: 中等肤色较深肤色
🧑🏾‍❤‍💋‍🧑🏻,亲吻: 成人成人中等-深肤色较浅肤色
🧑🏾‍❤‍💋‍🧑🏼,亲吻: 成人成人中等-深肤色中等-浅肤色
🧑🏾‍❤‍💋‍🧑🏽,亲吻: 成人成人中等-深肤色中等肤色
🧑🏾‍❤‍💋‍🧑🏿,亲吻: 成人成人中等-深肤色较深肤色
🧑🏾‍❤‍🧑🏻,情侣: 成人成人中等-深肤色较浅肤色
🧑🏾‍❤‍🧑🏼,情侣: 成人成人中等-深肤色中等-浅肤色
🧑🏾‍❤‍🧑🏽,情侣: 成人成人中等-深肤色中等肤色
🧑🏾‍❤‍🧑🏿,情侣: 成人成人中等-深肤色较深肤色
🧑🏾‍❤️‍💋‍🧑🏻,亲吻: 成人成人中等-深肤色较浅肤色
🧑🏾‍❤️‍💋‍🧑🏼,亲吻: 成人成人中等-深肤色中等-浅肤色
🧑🏾‍❤️‍💋‍🧑🏽,亲吻: 成人成人中等-深肤色中等肤色
🧑🏾‍❤️‍💋‍🧑🏿,亲吻: 成人成人中等-深肤色较深肤色
🧑🏾‍❤️‍🧑🏻,情侣: 成人成人中等-深肤色较浅肤色
🧑🏾‍❤️‍🧑🏼,情侣: 成人成人中等-深肤色中等-浅肤色
🧑🏾‍❤️‍🧑🏽,情侣: 成人成人中等-深肤色中等肤色
🧑🏾‍❤️‍🧑🏿,情侣: 成人成人中等-深肤色较深肤色
🧑🏾‍🤝‍🧑🏻,手拉手的两个人: 中等-深肤色较浅肤色
🧑🏾‍🤝‍🧑🏼,手拉手的两个人: 中等-深肤色中等-浅肤色
🧑🏾‍🤝‍🧑🏽,手拉手的两个人: 中等-深肤色中等肤色
🧑🏾‍🤝‍🧑🏾,手拉手的两个人: 中等-深肤色
🧑🏾‍🤝‍🧑🏿,手拉手的两个人: 中等-深肤色较深肤色
🧑🏿‍❤‍💋‍🧑🏻,亲吻: 成人成人较深肤色较浅肤色
🧑🏿‍❤‍💋‍🧑🏼,亲吻: 成人成人较深肤色中等-浅肤色
🧑🏿‍❤‍💋‍🧑🏽,亲吻: 成人成人较深肤色中等肤色
🧑🏿‍❤‍💋‍🧑🏾,亲吻: 成人成人较深肤色中等-深肤色
🧑🏿‍❤‍🧑🏻,情侣: 成人成人较深肤色较浅肤色
🧑🏿‍❤‍🧑🏼,情侣: 成人成人较深肤色中等-浅肤色
🧑🏿‍❤‍🧑🏽,情侣: 成人成人较深肤色中等肤色
🧑🏿‍❤‍🧑🏾,情侣: 成人成人较深肤色中等-深肤色
🧑🏿‍❤️‍💋‍🧑🏻,亲吻: 成人成人较深肤色较浅肤色
🧑🏿‍❤️‍💋‍🧑🏼,亲吻: 成人成人较深肤色中等-浅肤色
🧑🏿‍❤️‍💋‍🧑🏽,亲吻: 成人成人较深肤色中等肤色
🧑🏿‍❤️‍💋‍🧑🏾,亲吻: 成人成人较深肤色中等-深肤色
🧑🏿‍❤️‍🧑🏻,情侣: 成人成人较深肤色较浅肤色
🧑🏿‍❤️‍🧑🏼,情侣: 成人成人较深肤色中等-浅肤色
🧑🏿‍❤️‍🧑🏽,情侣: 成人成人较深肤色中等肤色
🧑🏿‍❤️‍🧑🏾,情侣: 成人成人较深肤色中等-深肤色
🧑🏿‍🤝‍🧑🏻,手拉手的两个人: 较深肤色较浅肤色
🧑🏿‍🤝‍🧑🏼,手拉手的两个人: 较深肤色中等-浅肤色
🧑🏿‍🤝‍🧑🏽,手拉手的两个人: 较深肤色中等肤色
🧑🏿‍🤝‍🧑🏾,手拉手的两个人: 较深肤色中等-深肤色
🧑🏿‍🤝‍🧑🏿,手拉手的两个人: 较深肤色
👣,脚印
👤,人像
👥,双人像
🗣,说话
🫂,人的拥抱
🏻,较浅肤色
🏼,中等-浅肤色
🏽,中等肤色
🏾,中等-深肤色
🏿,较深肤色
🦰,红发
🦱,卷发
🦲,秃顶
🦳,白发
🐀,耗子
🐁,老鼠
🐂,公牛
🐃,水牛
🐄,奶牛
🐅,老虎
🐆,豹子
🐇,兔子
🐈,猫
🐈‍⬛,黑猫
🐎,马
🐏,公羊
🐐,山羊
🐑,母羊
🐒,猴子
🐕,狗
🐕‍🦺,服务犬
🐖,猪
🐗,野猪
🐘,大象
🐨,考拉
🐩,贵宾犬
🐪,骆驼
🐫,双峰骆驼
🐭,老鼠头
🐮,奶牛头
🐯,老虎头
🐰,兔子头
🐱,猫脸
🐴,马头
🐵,猴头
🐶,狗脸
🐷,猪头
🐹,仓鼠
🐺,狼
🐻,熊
🐻‍❄,北极熊
🐻‍❄️,北极熊
🐼,熊猫
🐽,猪鼻子
🐾,爪印
🐿,松鼠
🦁,狮子
🦄,独角兽
🦇,蝙蝠
🦊,狐狸
🦌,鹿
🦍,大猩猩
🦏,犀牛
🦒,长颈鹿
🦓,斑马
🦔,刺猬
🦘,袋鼠
🦙,美洲鸵
🦛,河马
🦝,浣熊
🦡,獾
🦣,猛犸
🦥,树懒
🦦,水獭
🦧,红毛猩猩
🦨,臭鼬
🦫,海狸
🦬,大野牛
🦮,导盲犬
🫎,驼鹿
🫏,驴
🐓,公鸡
🐔,鸡
🐣,小鸡破壳
🐤,小鸡
🐥,正面朝向的小鸡
🐦,鸟
🐦‍⬛,黑鸟
🐧,企鹅
🕊,鸽
🦃,火鸡
🦅,鹰
🦆,鸭子
🦉,猫头鹰
🦚,孔雀
🦜,鹦鹉
🦢,天鹅
🦤,渡渡鸟
🦩,火烈鸟
🪶,羽毛
🪽,翅膀
🪿,鹅
🐸,青蛙
🐉,龙
🐊,鳄鱼
🐍,蛇
🐢,龟
🐲,龙头
🦎,蜥蜴
🦕,蜥蜴类
🦖,霸王龙
🐋,鲸鱼
🐙,章鱼
🐚,海螺
🐟,鱼
🐠,热带鱼
🐡,河豚
🐬,海豚
🐳,喷水的鲸
🦈,鲨鱼
🦭,海豹
🪸,珊瑚
🪼,水母
🐌,蜗牛
🐛,毛毛虫
🐜,蚂蚁
🐝,蜜蜂
🐞,瓢虫
🕷,蜘蛛
🕸,蜘蛛网
🦂,蝎子
🦋,蝴蝶
🦗,蟋蟀
🦟,蚊子
🦠,细菌
🪰,苍蝇
🪱,蠕虫
🪲,甲虫
🪳,蟑螂
🌷,郁金香
🌸,樱花
🌹,玫瑰
🌺,芙蓉
🌻,向日葵
🌼,开花
🏵,圆形花饰
💐,花束
💮,白花
🥀,枯萎的花
🪷,莲花
🪻,风信子
☘,三叶草
🌱,幼苗
🌲,松树
🌳,落叶树
🌴,棕榈树
🌵,仙人掌
🌾,稻子
🌿,药草
🍀,四叶草
🍁,枫叶
🍂,落叶
🍃,风吹叶落
🍄,蘑菇
🪴,盆栽植物
🪹,空巢
🪺,有蛋的巢
🍅,西红柿
🍇,葡萄
🍈,甜瓜
🍉,西瓜
🍊,橘子
🍋,柠檬
🍌,香蕉
🍍,菠萝
🍎,红苹果
🍏,青苹果
🍐,梨
🍑,桃
🍒,樱桃
🍓,草莓
🥝,猕猴桃
🥥,椰子
🥭,芒果
🫐,蓝莓
🫒,橄榄
🌰,栗子
🌶,红辣椒
🌽,玉米
🍆,茄子
🥑,鳄梨
🥒,黄瓜
🥔,土豆
🥕,胡萝卜
🥜,花生
🥦,西兰花
🥬,绿叶蔬菜
🧄,蒜
🧅,洋葱
🫑,灯笼椒
🫘,豆
🫚,姜
🫛,豌豆荚
🌭,热狗
🌮,墨西哥卷饼
🌯,墨西哥玉米煎饼
🍔,汉堡
🍕,披萨
🍖,排骨
🍗,家禽的腿
🍞,面包
🍟,薯条
🍲,一锅食物
🍳,煎蛋
🍿,爆米花
🥐,羊角面包
🥓,培根
🥖,法式长棍面包
🥗,绿色沙拉
🥘,装有食物的浅底锅
🥙,夹心饼
🥚,蛋
🥞,烙饼
🥣,碗勺
🥨,椒盐卷饼
🥩,肉块
🥪,三明治
🥫,罐头食品
🥯,面包圈
🧀,芝士
🧂,盐
🧆,炸豆丸子
🧇,华夫饼
🧈,黄油
🫓,扁面包
🫔,墨西哥粽子
🫕,奶酪火锅
🍘,米饼
🍙,饭团
🍚,米饭
🍛,咖喱饭
🍜,面条
🍝,意粉
🍠,烤红薯
🍡,团子
🍢,关东煮
🍣,寿司
🍤,天妇罗
🍥,鱼板
🍱,盒饭
🥟,饺子
🥠,幸运饼干
🥡,外卖盒
🥮,月饼
🦀,蟹
🦐,虾
🦑,乌贼
🦞,龙虾
🦪,牡蛎
🍦,圆筒冰激凌
🍧,刨冰
🍨,冰淇淋
🍩,甜甜圈
🍪,饼干
🍫,巧克力
🍬,糖
🍭,棒棒糖
🍮,奶黄
🍯,蜂蜜
🍰,水果蛋糕
🎂,生日蛋糕
🥧,派
🧁,纸杯蛋糕
☕,热饮
🍵,热茶
🍶,清酒
🍷,葡萄酒
🍸,鸡尾酒
🍹,热带水果饮料
🍺,啤酒
🍻,干杯
🍼,奶瓶
🍾,开香槟
🥂,碰杯
🥃,平底杯
🥛,一杯奶
🥤,带吸管杯
🧃,饮料盒
🧉,马黛茶
🧊,冰块
🧋,珍珠奶茶
🫖,茶壶
🫗,倾倒液体
🍴,刀叉
🍽,餐具
🏺,双耳瓶
🔪,菜刀
🥄,匙
🥢,筷子
🫙,罐
🌍,地球上的欧洲非洲
🌎,地球上的美洲
🌏,地球上的亚洲澳洲
🌐,带经纬线的地球
🗺,世界地图
🗾,日本地图
🧭,指南针
⛰,山
🌋,火山
🏔,雪山
🏕,露营
🏖,沙滩伞
🏜,沙漠
🏝,无人荒岛
🏞,国家公园
🗻,富士山
🏗,施工
🏘,房屋建筑
🏚,废墟
🏛,古典建筑
🏟,体育馆
🏠,房子
🏡,别墅
🏢,办公楼
🏣,日本邮局
🏤,邮局
🏥,医院
🏦,银行
🏨,酒店
🏩,情人酒店
🏪,便利店
🏫,学校
🏬,商场
🏭,工厂
🏯,日本城堡
🏰,欧洲城堡
💒,婚礼
🗼,东京塔
🗽,自由女神像
🛖,小屋
🧱,砖
🪨,岩石
🪵,木头
⛩,神社
⛪,教堂
🕋,克尔白
🕌,清真寺
🕍,犹太教堂
🛕,印度寺庙
♨,温泉
⛲,喷泉
⛺,帐篷
🌁,有雾
🌃,夜晚
🌄,山顶日出
🌅,日出
🌆,城市黄昏
🌇,日落
🌉,夜幕下的桥
🎠,旋转木马
🎡,摩天轮
🎢,过山车
🎪,马戏团帐篷
🏙,城市风光
💈,理发店
🛝,游乐场滑梯
⛽,油泵
🏍,摩托车
🏎,赛车
🚂,蒸汽火车
🚃,轨道车
🚄,高速列车
🚅,子弹头高速列车
🚆,火车
🚇,地铁
🚈,轻轨
🚉,车站
🚊,路面电车
🚋,有轨电车
🚌,公交车
🚍,迎面驶来的公交车
🚎,无轨电车
🚏,公交车站
🚐,小巴
🚑,救护车
🚒,消防车
🚓,警车
🚔,迎面驶来的警车
🚕,出租车
🚖,迎面驶来的出租车
🚗,汽车
🚘,迎面驶来的汽车
🚙,运动型多用途车
🚚,货车
🚛,铰接式货车
🚜,拖拉机
🚝,单轨
🚞,山区铁路
🚥,横向的红绿灯
🚦,纵向的红绿灯
🚧,路障
🚨,警车灯
🚲,自行车
🛑,停止标志
🛞,车轮
🛢,石油桶
🛣,高速公路
🛤,铁轨
🛴,滑板车
🛵,小型摩托车
🛹,滑板
🛺,三轮摩托车
🛻,敞蓬小型载货卡车
🛼,四轮滑冰鞋
🦼,残疾
🦽,残疾
⚓,锚
⛴,渡轮
⛵,帆船
🚢,船
🚤,快艇
🛟,救生圈
🛥,摩托艇
🛳,客轮
🛶,独木舟
✈,飞机
💺,座位
🚀,火箭
🚁,直升机
🚟,空轨
🚠,缆车
🚡,索道
🛩,小型飞机
🛫,航班起飞
🛬,航班降落
🛰,卫星
🛸,飞碟
🪂,降落伞
🛎,服务铃
🧳,行李箱
⌚,手表
⌛,沙漏
⏰,闹钟
⏱,秒表
⏲,定时器
⏳,沙正往下流的沙漏
🕐,一点
🕑,两点
🕒,三点
🕓,四点
🕔,五点
🕕,六点
🕖,七点
🕗,八点
🕘,九点
🕙,十点
🕚,十一点
🕛,十二点
🕜,一点半
🕝,两点半
🕞,三点半
🕟,四点半
🕠,五点半
🕡,六点半
🕢,七点半
🕣,八点半
🕤,九点半
🕥,十点半
🕦,十一点半
🕧,十二点半
🕰,座钟
☀,太阳
☁,云
☂,伞
☃,雪与雪人
☄,彗星
☔,雨伞
⚡,高压
⛄,雪人
⛅,多云
⛈,雷阵雨
⛱,阳伞
❄,雪花
⭐,星星
🌀,台风
🌂,收起的伞
🌈,彩虹
🌊,浪花
🌌,银河
🌑,朔月
🌒,娥眉月
🌓,上弦月
🌔,盈凸月
🌕,满月
🌖,亏凸月
🌗,下弦月
🌘,残月
🌙,弯月
🌚,微笑的朔月
🌛,微笑的上弦月
🌜,微笑的下弦月
🌝,微笑的月亮
🌞,微笑的太阳
🌟,闪亮的星星
🌠,流星
🌡,温度计
🌤,晴偶有云
🌥,多云
🌦,晴转雨
🌧,下雨
🌨,下雪
🌩,打雷
🌪,龙卷风
🌫,雾
🌬,大风
💧,水滴
🔥,火焰
🪐,有环行星
✨,闪亮
🎀,蝴蝶结
🎁,礼物
🎃,南瓜灯
🎄,圣诞树
🎆,焰火
🎇,烟花
🎈,气球
🎉,拉炮彩带
🎊,五彩纸屑球
🎋,七夕树
🎍,门松
🎎,日本人形
🎏,鲤鱼旗
🎐,风铃
🎑,赏月
🎗,提示丝带
🎟,入场券
🎫,票
🧧,红包
🧨,爆竹
🎖,军功章
🏅,奖牌
🏆,奖杯
🥇,金牌
🥈,银牌
🥉,铜牌
⚽,足球
⚾,棒球
⛳,高尔夫球洞
⛸,滑冰
🎣,钓鱼竿
🎳,保龄球
🎽,运动背心
🎾,网球
🎿,滑雪
🏀,篮球
🏈,美式橄榄球
🏉,英式橄榄球
🏏,板球
🏐,排球
🏑,曲棍球
🏒,冰球
🏓,乒乓球
🏸,羽毛球
🛷,雪橇
🤿,潜水面罩
🥅,球门
🥊,拳击手套
🥋,练武服
🥌,冰壶
🥍,袋棍球
🥎,垒球
🥏,飞盘
♟,兵
♠,黑桃
♣,梅花
♥,红桃
♦,方片
🀄,红中
🃏,大小王
🎮,游戏手柄
🎯,正中靶心的飞镖
🎰,老虎机
🎱,台球
🎲,骰子
🎴,花札
🔫,水枪
🔮,水晶球
🕹,游戏操控杆
🧩,拼图
🧸,泰迪熊
🪀,悠悠球
🪁,风筝
🪄,魔棒
🪅,彩罐
🪆,套娃
🪩,镜球
🎨,调色盘
🎭,表演艺术
🖼,带框的画
🧵,线
🧶,毛线
🪡,缝合针
🪢,结
⛑,白十字头盔
🎒,书包
🎓,毕业帽
🎩,礼帽
👑,皇冠
👒,女帽
👓,眼镜
👔,领带
👕,T恤
👖,牛仔裤
👗,连衣裙
👘,和服
👙,比基尼
👚,女装
👛,钱包
👜,手提包
👝,手袋
👞,男鞋
👟,跑鞋
👠,高跟鞋
👡,女式凉鞋
👢,女靴
💄,唇膏
💍,戒指
💎,宝石
📿,念珠
🕶,墨镜
🛍,购物袋
🥻,纱丽
🥼,白大褂
🥽,护目镜
🥾,登山鞋
🥿,平底鞋
🦺,救生衣
🧢,鸭舌帽
🧣,围巾
🧤,手套
🧥,外套
🧦,袜子
🩰,芭蕾舞鞋
🩱,连体泳衣
🩲,三角裤
🩳,短裤
🩴,夹趾凉鞋
🪖,军用头盔
🪭,折扇
🪮,发夹
📢,喇叭
📣,扩音器
📯,邮号
🔇,已静音的扬声器
🔈,低音量的扬声器
🔉,中等音量的扬声器
🔊,高音量的扬声器
🔔,铃铛
🔕,禁止响铃
🎙,录音室麦克风
🎚,电平滑块
🎛,控制旋钮
🎤,麦克风
🎧,耳机
🎵,音符
🎶,多个音符
🎼,乐谱
📻,收音机
🎷,萨克斯管
🎸,吉他
🎹,音乐键盘
🎺,小号
🎻,小提琴
🥁,鼓
🪇,沙球
🪈,长笛
🪕,班卓琴
🪗,手风琴
🪘,长鼓
☎,电话
📞,电话听筒
📟,寻呼机
📠,传真机
📱,手机
📲,带有箭头的手机
⌨,键盘
💻,笔记本电脑
💽,电脑光盘
💾,软盘
💿,光盘
📀,DVD
🔋,电池
🔌,电源插头
🖥,台式电脑
🖨,打印机
🖱,电脑鼠标
🖲,轨迹球
🧮,算盘
🪫,电池电量不足
🎞,影片帧
🎥,电影摄影机
🎬,场记板
🏮,红灯笼
💡,灯泡
📷,相机
📸,开闪光灯的相机
📹,摄像机
📺,电视机
📼,录像带
📽,电影放映机
🔍,左斜的放大镜
🔎,右斜的放大镜
🔦,手电筒
🕯,蜡烛
🪔,印度油灯
🏷,标签
📃,带卷边的页面
📄,文件
📑,标签页
📒,账本
📓,笔记本
📔,精装笔记本
📕,合上的书本
📖,打开的书本
📗,绿色书本
📘,蓝色书本
📙,橙色书本
📚,书
📜,卷轴
📰,报纸
🔖,书签
🗞,报纸卷
💰,钱袋
💳,信用卡
💴,日元
💵,美元
💶,欧元
💷,英镑
💸,长翅膀的钱
💹,趋势向上且带有日元符号的图表
🧾,收据
🪙,硬币
✉,信封
📤,发件箱
📥,收件箱
📦,包裹
📧,电子邮件
📨,来信
📩,收邮件
📪,无待收信件
📫,有待收信件
📬,有新信件
📭,无新信件
📮,邮筒
🗳,投票箱
✏,铅笔
✒,钢笔尖
📝,备忘录
🖊,笔
🖋,钢笔
🖌,画笔
🖍,蜡笔
✂,剪刀
💼,公文包
📁,文件夹
📂,打开的文件夹
📅,日历
📆,手撕日历
📇,卡片索引
📈,趋势向上的图表
📉,趋势向下的图表
📊,条形图
📋,剪贴板
📌,图钉
📍,圆图钉
📎,回形针
📏,直尺
📐,三角尺
🖇,连起来的两个回形针
🗂,索引分隔文件夹
🗃,卡片盒
🗄,文件柜
🗑,垃圾桶
🗒,线圈本
🗓,线圈日历
🔏,墨水笔和锁
🔐,钥匙和锁
🔑,钥匙
🔒,合上的锁
🔓,打开的锁
🗝,老式钥匙
⚒,锤子与镐
⚔,交叉放置的剑
⚖,天平
⚙,齿轮
⛏,铁镐
⛓,链条
🏹,弓和箭
💣,炸弹
🔗,链接
🔧,扳手
🔨,锤子
🔩,螺母与螺栓
🗜,夹钳
🗡,匕首
🛠,锤子与扳手
🛡,盾牌
🦯,盲杖
🧰,工具箱
🧲,磁铁
🪃,回旋镖
🪓,斧头
🪚,木工锯
🪛,螺丝刀
🪜,梯子
🪝,挂钩
⚗,蒸馏器
📡,卫星天线
🔬,显微镜
🔭,望远镜
🧪,试管
🧫,培养皿
🧬,DNA
💉,注射器
💊,药丸
🩸,血滴
🩹,创可贴
🩺,听诊器
🩻,X射线
🩼,拐杖
🚪,门
🚽,马桶
🚿,淋浴
🛁,浴缸
🛋,沙发和灯
🛏,床
🛒,购物车
🛗,电梯
🧯,灭火器
🧴,乳液瓶
🧷,安全别针
🧹,扫帚
🧺,筐
🧻,卷纸
🧼,皂
🧽,海绵
🪑,椅子
🪒,剃须刀
🪞,镜子
🪟,窗户
🪠,活塞
🪣,桶
🪤,捕鼠器
🪥,牙刷
🫧,气泡
⚰,棺材
⚱,骨灰缸
🗿,摩埃
🚬,香烟
🧿,纳扎尔护身符
🪦,墓碑
🪧,标语牌
🪪,身份证
🪬,法蒂玛之手
♿,残疾
🏧,取款机
🚮,倒垃圾
🚰,饮用水
🚹,男厕
🚺,女厕
🚻,卫生间
🚼,宝宝
🚾,厕所
🛂,护照检查
🛃,海关
🛄,提取行李
🛅,寄存行李
☢,辐射
☣,生物危害
⚠,警告
⛔,禁止通行
📵,禁止使用手机
🔞,18禁
